epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,412.937,1.0952,1.67742,1.19305,0.89102,0.75661,0.80151,0.66124,0.89484,0.75136,1.08717,0.0033303,0.0033303,0.0033303
2,831.698,0.76527,0.68819,1.02939,0.97129,0.80769,0.86543,0.73974,0.77384,0.54651,1.03412,0.00633379,0.00633379,0.00633379
3,1241.25,0.7066,0.57802,1.00396,0.9397,0.8312,0.88558,0.75649,0.73835,0.47694,1.02099,0.00900727,0.00900727,0.00900727
4,1652.37,0.64848,0.48286,0.98247,0.94761,0.85154,0.90279,0.78926,0.68404,0.39428,1.00468,0.008515,0.008515,0.008515
5,2063.74,0.59622,0.41364,0.96323,0.94697,0.86231,0.90863,0.79529,0.67358,0.3644,1.00283,0.00802,0.00802,0.00802
6,2471.48,0.56813,0.38041,0.95426,0.94892,0.86501,0.91369,0.80871,0.62297,0.33545,0.97993,0.007525,0.007525,0.007525
7,2879.48,0.5491,0.3604,0.94942,0.95155,0.86867,0.91648,0.81441,0.60883,0.32083,0.97321,0.00703,0.00703,0.00703
8,3287.12,0.53693,0.34642,0.94725,0.95195,0.86935,0.91867,0.81816,0.5978,0.31167,0.97247,0.006535,0.006535,0.006535
9,3695.83,0.52463,0.33616,0.94362,0.95013,0.8744,0.91983,0.81992,0.58813,0.30304,0.97129,0.00604,0.00604,0.00604
10,4103.61,0.5155,0.327,0.9423,0.95257,0.87517,0.92159,0.82291,0.57983,0.29573,0.96824,0.005545,0.005545,0.005545
11,4540.83,0.5096,0.29476,0.95031,0.94901,0.87784,0.92206,0.82247,0.58937,0.29521,0.9708,0.00505,0.00505,0.00505
12,4940.87,0.49566,0.28425,0.94693,0.95151,0.87978,0.92346,0.82265,0.59824,0.29446,0.98495,0.004555,0.004555,0.004555
13,5339.67,0.48421,0.27541,0.94446,0.95057,0.88225,0.92459,0.82322,0.60722,0.29362,0.99343,0.00406,0.00406,0.00406
14,5739.81,0.47425,0.26727,0.93814,0.95257,0.88183,0.92543,0.8224,0.61415,0.29321,0.99432,0.003565,0.003565,0.003565
15,6147.89,0.46351,0.25939,0.93884,0.95239,0.88333,0.92591,0.82205,0.61914,0.29237,1.00318,0.00307,0.00307,0.00307
16,6545.2,0.45338,0.25111,0.92895,0.95324,0.88388,0.92669,0.82267,0.61774,0.29073,1.00069,0.002575,0.002575,0.002575
17,6941.2,0.44362,0.24345,0.92381,0.95316,0.88463,0.92705,0.82312,0.61906,0.29014,0.99914,0.00208,0.00208,0.00208
18,7341.94,0.43291,0.23674,0.92314,0.95319,0.88514,0.92746,0.82375,0.61744,0.28906,0.99948,0.001585,0.001585,0.001585
19,7740.6,0.42248,0.22863,0.91779,0.95075,0.88707,0.92772,0.82418,0.61675,0.28816,0.99917,0.00109,0.00109,0.00109
20,8119.48,0.41102,0.2196,0.91104,0.9513,0.88726,0.92796,0.8245,0.61651,0.28703,0.9981,0.000595,0.000595,0.000595
